"SITE_ID","YEAR","VISIT_NO","SAMPLED","DATE_COL","DATECHEM","TEAM_ID","SAMP_LOC","PHSTVL","PHSTVLF","COND","CONDF","ANC","ANCF","TURB","TURBF","TSS","TSSF","COLOR","COLORF","DOC","DOCF","DIC","DICF","PTL","PTLF","SE","SEF","CA","CAF","MG","MGF","NA","NAF","K","KF","NH4","NH4F","SO4","SO4F","NO3","NO3F","CL","CLF","NTL","NTLF","ZN","ZNF","SIO2","SIO2F","H","OH","HCO3","CO3","ALKCALC","CATSUM","ANSUM","ANDEF","SOBC","IONSTR","BALANCE","ORGION","CONCAL","CONDHO","DAY_SHIP","COM_LAB","COM_FLD","COM_IM" 
"WAZP99-0681",2001,1,"Yes",06/19/2001,06/19/2001,"1","F",9.12,"H6",427," ",3054.6,"H10",0.298,"H6",2.2,"H16",5,"H6",1.99," ",35.54,"H4",40," ",0.0,"H237",1962.5,"H252",1065.4,"H286",1365.6,"H223",59.7,"H218",0.4," ",371.0,"H34",0.0,"H34",1039.7,"H55",133," ",5.0,"H284",34.06,"H8",0.001,13.183,2782.451,343.911,3139.47,4453.35,4550.23,-96.88,4453.14,0.01,-1.08,19.89,505.25,457.88,4," ","CU,S1,S2"," " 
"WAZP99-0687",2001,1,"Yes",05/30/2001,05/30/2001,"1","F",7.64,"H5",81," ",683.6," ",2.05,"H5",1.5," ",15,"H5",1.43," ",8.03,"H7",39," ",0.0,"H246",386.3,"H272",323.6,"H222",132.5,"H219",11.6,"H219",0.3," ",97.0,"H9",0.0,"H9",24.8,"H9",55," ",7.0,"H304",20.90,"H8",0.023,0.437,634.604,2.597,637.58,854.28,759.48,94.8,853.98,0.002,5.87,14.18,85.8,80.16,5," "," "," " 
"WAZP99-0701",2001,1,"Yes",06/26/2001,06/26/2001,"1","K",8.19," ",682," ",6027.2," ",1.98," ",11.2," ",15," ",7.03,"H16",68.26,"H7",69," ",2.0,"H230",3459.8,"H245",3041.0,"H218",1061.5,"H216",89.4,"H211",0.9," ",871.3,"H36",7.1,"H27",610.1,"H36",494," ",9.0,"H277",14.10,"H10",0.006,1.549,5562.354,80.775,5644.3,7652.42,7133.23,519.19,7651.56,0.019,3.51,70.07,796.91,714.43,3,"pH syringe - broken tip, difficult to get good reading"," "," " 
"WAZP99-0712",2002,1,"Yes",08/01/2002,08/01/2002,"1","X",7.78,"H4",2918," ",4512.6," ",10.3,"H5",24.8," ",5,"H4",0.80,"H21",50.42,"H9",32," ",0.0,"H607",15209.5," ",8182.8," ",11370.4," ",644.7," ",0.5," ",19998.7,"H36",9.3,"H34",9641.1,"H36",392," ",4.1,"H251",18.42,"H8",0.0165958691,0.6025595861,4035.7388695,22.800366249,4058.8531317,35407.919496,33708.166355,1699.7531409,35407.41782,0.0996787001,1.2296364298,7.9741461544,4472.5990259,3334.1072119,2," "," "," " 
"WAZP99-0716",2002,1,"Yes",06/20/2002,06/20/2002,"1","K",7.43,"H6",561,"H11",5673.5,"H12",4.63,"H6",7.04," ",5,"H5",1.25," ",63.63,"H8",16," ",0.1,"H624",2669.2," ",2519.3," ",1147.0," ",74.5," ",0.4," ",122.6,"H11",2.9,"H11",555.7,"H13",109," ",0.0,"H292",24.16,"H15",0.0371535229,0.2691534804,4883.371963,12.323627738,4895.5945435,6410.5362621,5577.1083443,833.42791788,6410.07647,0.0139789814,3.4761954714,12.312324646,625.85887883,584.673574,5," "," "," " 
"WAZP99-0722",2002,1,"Yes",07/18/2002,07/18/2002,"1","F",7.62,"H5",57," ",504.8,"H8",1.76,"H5",4," ",20,"H5",1.98," ",5.99,"H5",61," ",0.1,"H617",192.0," ",119.9," ",185.8," ",73.9," ",0.9," ",30.4,"H43",1.4,"H43",19.5,"H43",141," ",0.0,"H265",41.31," ",0.0239883292,0.4168693835,471.99050215,1.8448116181,474.19988082,572.52684655,525.53932315,46.987523402,571.593782,0.0010653303,2.13955792,19.586943594,57.815010184,55.460645208,2," "," "," " 
"WAZP99-0744",2002,1,"Yes",08/15/2002,08/15/2002,"1","K",8.98," ",250,"H257",2252.8," ",12.3,"H5",53.76," ",10,"H4",2.27," ",25.04,"H5",170," ",0.0,"H575",2061.4," ",272.8," ",236.8," ",38.5," ",3.1," ",203.6,"H21",20.7,"H21",135.1,"H21",771," ",0.0,"H237",11.78,"H9",0.0010471285,9.5499258602,1991.123203,178.28585944,2178.9078879,2611.4564546,2538.3884283,73.068026282,2609.379334,0.0066490153,0.709419681,22.710239426,282.81276653,258.71694958,2," "," "," " 
"WAZP99-0750",2003,1,"Yes",07/30/2003,07/30/2003,"1","X",7.55,"H5",335," ",3370.0,"H9",2.95,"H6",8.7,"H16",0,"H5",1.00,"H19",44.53,"H14",80,"H30",0.0,"H320",1670.7," ",1266.0," ",726.4," ",86.5," ",0.2," ",122.2,"H35",0.0,"H35",163.3,"H35",113,"H30",0.0,"H196",50.70,"H9",0.0281838293,0.3548133892,3481.2331528,11.581155059,3492.905006,3749.8925877,3778.6952612,-28.80267349,3749.653976,0.0083700282,-0.191288686,9.9049927685,387.24452189,362.43861342,3," "," "," " 
"WAZP99-0768",2002,1,"Yes",09/15/2002,09/15/2002,"1","X",8.42,"H11",322,"H226",3372.3,"H13",0.349,"H11",3.92,"H24",5,"H11",0.66,"H17",39.31,"H11",6," ",0.1,"H571",1657.7," ",1764.6," ",121.4," ",27.3," ",0.4,"H30",127.9,"H17",1.2,"H17",82.3,"H17",74," ",11.1,"H208",6.61,"H12",0.003801894,2.6302679919,3205.8316992,79.060486868,3287.321002,3571.2955033,3498.8964106,72.39909266,3570.913252,0.0089788688,0.5120023158,6.5632035927,365.47281259,340.36817576,11," "," "," " 
"WAZP99-0783",2002,1,"Yes",07/16/2002,07/16/2002,"1","G",8.32,"H6",240," ",2453.8,"H9",0.24,"H6",5.4," ",5,"H6",0.72," ",30.92," ",40,"H122",0.4,"H602",1392.7," ",856.4," ",421.7," ",44.4," ",0.8," ",39.6,"H45",5.7,"H45",73.3,"H45",210,"H122",0.0,"H267",45.92," ",0.0047863009,2.0892961309,2522.8481684,49.420812365,2574.1987822,2715.902453,2692.9630769,22.939376046,2715.186814,0.0062115168,0.2120534881,7.1747631495,277.92154684,262.69197725,3," "," "," " 
