"UNIQUE_ID","DSGN_CYCLE","COMID","SITE_ID"
"NRS_CA-10165","2008-09","17607469","FW08CA007"
"NRS_CA-10207","2008-09","7994263","FW08CA005"
"NRS_CA-10285","2008-09","359295","FW08CA010"
"NRS_CA-10300","2008-09","8914957","FW08CA011"
"NRS_CA-10816","2008-09","8020478","FW08CA054"
"NRS_AZ-10475","2008-09","10003816","FW08AZ062"
"NRS_AZ-10486","2008-09","20736545","FW08AZ073"
"NRS_AZ-10487","2008-09","10010626","FW08AZ074"
"NRS_AZ-10488","2008-09","21356971","FW08AZ075"
"NRS_AZ-10490","2008-09","20738263","FW08AZ077"
"NRS_AZ-10500","2008-09","22441494","FW08AZ087"
"NRS_AZ-10503","2008-09","20379313","FW08AZ090"
"NRS_AZ-10506","2008-09","20734045","FW08AZ093"
"NRS_AZ-10511","2008-09","20717038","FW08AZ098"
"NRS_CA-10304","2008-09","22592131","FW08CA001"
"NRS_CA-10333","2008-09","17568579","FW08CA012"
"NRS_CA-10818","2008-09","4442410","FW08CA056"
"NRS_CA-10821","2008-09","20294501","FW08CA059"
"NRS_CA-10823","2008-09","2820014","FW08CA061"
"NRS_CA-10825","2008-09","2706253","FW08CA063"
"NRS_CA-10829","2008-09","15024989","FW08CA067"
"NRS_CA-10830","2008-09","362143","FW08CA068"
"NRS_CA-10833","2008-09","8028376","FW08CA075"
"NRS_CA-10844","2008-09","8915047","FW08CA097"
"NRS_CA-10845","2008-09","8317019","FW08CA102"
"NRS_CA-10849","2008-09","8257773","FW08CA116"
"NRS_CA-10855","2008-09","361533","FW08CA132"
"NRS_CA-10858","2008-09","8058193","FW08CA139"
"NRS_CA-10352","2008-09","2810225","FW08CA016"
"NRS_CA-10359","2008-09","8922673","FW08CA006"
"NRS_CA-10416","2008-09","8272561","FW08CA002"
"NRS_CA-10458","2008-09","8315767","FW08CA013"
"NRS_CA-10779","2008-09","22050309","FW08CA017"
"NRS_CA-10782","2008-09","4442592","FW08CA020"
"NRS_CA-10784","2008-09","17572955","FW08CA022"
"NRS_CA-10793","2008-09","8270711","FW08CA031"
"NRS_CA-10797","2008-09","7978069","FW08CA035"
"NRS_CA-10798","2008-09","8245680","FW08CA036"
"NRS_CA-10800","2008-09","17575849","FW08CA038"
"NRS_CA-10859","2008-09","20275095","FW08CA145"
"NRS_CA-10864","2008-09","1669885","FW08CA155"
