locationID,latitude,longitude,waterBody,projectCode
4013,47.16990604,-68.90735581,NA,NRSA
4014,43.43990417,-70.55629768,NA,NRSA
4015,44.89177673,-70.38442132,NA,NRSA
4016,45.88455729,-67.86175972,NA,NRSA
4017,45.69043623,-70.0993017,NA,NRSA
4018,46.43544151,-69.43808234,NA,NRSA
4019,46.63770296,-67.79620541,NA,NRSA
4020,47.11115563,-69.01443914,NA,NRSA
4021,44.9834071,-69.55645391,NA,NRSA
4022,46.97555966,-69.37837946,NA,NRSA
4625,43.6967828,-102.1639264,NA,NRSA
4626,43.41349596,-98.87786433,NA,NRSA
4628,43.52786911,-101.7975957,NA,NRSA
4629,45.7710672,-101.2769944,NA,NRSA
4631,43.2870233,-102.8174619,NA,NRSA
4634,45.68732336,-101.8394667,NA,NRSA
4638,43.82175326,-99.45185123,NA,NRSA
4639,44.28504443,-103.7937273,NA,NRSA
4640,45.50981053,-101.0847823,NA,NRSA
4642,43.78581882,-103.0622408,NA,NRSA
4644,45.72849972,-101.9843776,NA,NRSA
4645,45.00143744,-98.63765863,NA,NRSA
4653,45.76411077,-100.6831275,NA,NRSA
4641,45.65635515,-100.85083,NA,NRSA
4637,43.38208938,-102.3896031,NA,NRSA
4656,45.62072484,-102.3781605,NA,NRSA
4655,44.15643022,-103.2286962,NA,NRSA
4657,43.6071459,-102.9969674,NA,NRSA
4658,45.35231501,-96.70890655,NA,NRSA
4661,44.39508619,-102.8050839,NA,NRSA
4662,43.64222528,-101.8385385,NA,NRSA
4665,43.48729998,-102.4814225,NA,NRSA
4668,44.5204035,-101.9940786,NA,NRSA
4672,45.56322755,-101.5487176,NA,NRSA
4667,43.91601196,-99.81948746,NA,NRSA
4664,44.04587612,-99.15812818,NA,NRSA
3706,38.67542306,-121.4471954,NA,NRSA
3708,38.73207634,-119.929254,NA,NRSA
3709,34.74768352,-120.0540091,NA,NRSA
3712,42.00285652,-122.764264,NA,NRSA
3713,38.31081734,-119.3439232,NA,NRSA
3714,34.55732876,-119.2497054,NA,NRSA
3715,41.09035702,-124.0858495,NA,NRSA
3717,37.32877981,-121.6748984,NA,NRSA
3718,36.96370514,-119.2314146,NA,NRSA
3724,39.90521376,-121.0465597,NA,NRSA
4208,46.4179424,-103.5123702,NA,NRSA
4194,48.92108636,-98.07484771,NA,NRSA
4570,48.83914242,-98.00571028,NA,NRSA
4571,48.82919437,-100.0674,NA,NRSA
4568,46.8942303,-103.5408473,NA,NRSA
4567,46.25350832,-103.9119487,NA,NRSA
4569,46.77388383,-102.4274817,NA,NRSA
4188,46.38958696,-100.8727989,NA,NRSA
4190,48.06337856,-100.9209377,NA,NRSA
4191,47.45974483,-96.87661905,NA,NRSA
4192,46.58915632,-101.733273,NA,NRSA
4193,46.90918389,-103.5472657,NA,NRSA
4195,47.30457885,-102.1929032,NA,NRSA
4197,46.03088497,-101.6170808,NA,NRSA
4198,46.47800388,-102.2405319,NA,NRSA
4199,46.99020188,-102.8888491,NA,NRSA
4201,47.25584742,-101.8083965,NA,NRSA
4210,46.76207893,-97.19333858,NA,NRSA
4204,47.12957903,-102.2341885,NA,NRSA
4211,46.53464017,-100.4417819,NA,NRSA
4212,47.04645893,-101.1047038,NA,NRSA
4213,45.95828509,-103.1202439,NA,NRSA
4214,46.05454691,-102.0750985,NA,NRSA
4216,48.11971126,-97.17403442,NA,NRSA
4217,46.77582075,-101.1706339,NA,NRSA
4209,46.79972003,-101.1068409,NA,NRSA
4205,47.16033766,-102.0420806,NA,NRSA
4207,46.22148997,-101.5025463,NA,NRSA
4220,46.74676239,-100.7427914,NA,NRSA
4222,46.32399426,-101.8133071,NA,NRSA
4225,46.74136434,-101.4838374,NA,NRSA
4226,46.92584336,-103.5406523,NA,NRSA
4228,46.27686832,-101.0279655,NA,NRSA
4251,42.09737111,-101.1664848,NA,NRSA
4262,41.54084738,-102.716022,NA,NRSA
4240,42.62211054,-103.7163788,NA,NRSA
4244,41.1442113,-101.212254,NA,NRSA
4245,42.80279544,-100.5568093,NA,NRSA
4246,42.44906515,-102.9989592,NA,NRSA
4247,40.24541171,-99.70082637,NA,NRSA
4250,41.25373201,-103.6113821,NA,NRSA
4256,40.62492341,-100.5745606,NA,NRSA
4253,42.94804468,-99.44766538,NA,NRSA
4255,42.43358648,-103.6993125,NA,NRSA
4258,40.23519944,-100.3104841,NA,NRSA
4263,42.89817333,-100.4853865,NA,NRSA
4267,42.71543719,-102.0301786,NA,NRSA
4273,42.79716483,-100.045521,NA,NRSA
4275,40.90225697,-96.60625678,NA,NRSA
4299,35.97105437,-106.604984,NA,NRSA
4300,36.59767554,-106.5008687,NA,NRSA
4301,36.43580292,-105.2366118,NA,NRSA
4304,36.11060373,-105.7319397,NA,NRSA
4305,35.37707235,-104.5055536,NA,NRSA
4306,32.36054883,-104.1851762,NA,NRSA
4309,35.24331258,-104.910899,NA,NRSA
4316,36.7888588,-106.240472,NA,NRSA
4317,36.79741478,-104.8782854,NA,NRSA
